track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,decade
Lucky Man,Montgomery Gentry,spotify:track:4GiXBCUF7H6YfNQsnBRIzl,0.578,0.471,4,-7.27,1,0.0289,0.368,0.0,0.159,0.532,133.061,196707,4,30.88059,13,1,2000
On The Hotline,Pretty Ricky,spotify:track:1zyqZONW985Cs4osz9wlsu,0.704,0.854,10,-5.477,0,0.183,0.0185,0.0,0.148,0.688,92.988,242587,4,41.51106,10,1,2000
I Got A Feelin',Billy Currington,spotify:track:1tF370eYXUcWwkIvaq3IGz,0.63,0.764,2,-4.353,1,0.0275,0.363,0.0,0.125,0.631,112.098,193760,4,22.62384,10,1,2000
Where I Come From,Alan Jackson,spotify:track:6ej1QJ8eIYmhsyTlvgDajy,0.726,0.631,11,-8.136,0,0.0334,0.22,0.0,0.193,0.746,124.711,239240,4,35.59732,10,1,2000
Nothin' To Die For,Tim McGraw,spotify:track:3lRSz6HujrSy9b3LXg2Kq9,0.481,0.786,10,-5.654,1,0.0288,0.0538,0.0,0.0759,0.389,153.105,253640,4,19.65701,11,1,2000
F.U.R.B. (F U Right Back),Frankee,spotify:track:7jElrCgQJBcVLsbMRKni2t,0.787,0.632,8,-3.487,1,0.137,0.103,6.78e-06,0.388,0.612,141.026,198173,4,18.091,9,1,2000
Amarillo Sky,Jason Aldean,spotify:track:0axUHkhMMY0YSC1jFBVWqv,0.491,0.776,2,-3.887,1,0.0393,0.314,0.0,0.146,0.428,154.988,202547,4,37.86861,9,1,2000
Six-Pack Summer,Phil Vassar,spotify:track:23qDMWnwf8p0pr5slljB6i,0.725,0.733,0,-6.66,1,0.0242,0.508,0.0,0.173,0.843,100.311,219827,4,27.0663,8,1,2000
Daddy Won't Sell The Farm,Montgomery Gentry,spotify:track:2Wt173KM9i97KSB52qCuqj,0.708,0.728,7,-7.039,1,0.0298,0.011,2.26e-05,0.0556,0.704,119.881,258640,4,33.81641,15,1,2000
Move Along,The All-American Rejects,spotify:track:2l57cfmCnOkwNX1tky02n1,0.518,0.916,3,-3.858,1,0.0454,0.000148,0.0,0.291,0.646,109.864,238880,4,19.81215,10,1,2000
It's So Hard,Big Punisher Featuring Donell Jones,spotify:track:5NQdweL8O7nGdM7e4IS1lf,0.9,0.593,10,-6.629,0,0.333,0.0554,0.0,0.0304,0.633,92.946,172933,4,21.78144,9,1,2000
Make It Rain,Fat Joe Featuring Lil Wayne,spotify:track:1Ji8DhJGIQuV9kBiTgcChh,0.744,0.697,11,-5.063,0,0.197,0.0106,0.0,0.0842,0.767,149.28,247413,4,42.63475,9,1,2000
He Gets That From Me,Reba McEntire,spotify:track:46a3BjDPBdi6OngVhTkuM6,0.643,0.391,10,-10.09,1,0.0296,0.622,1.38e-05,0.11,0.418,143.786,219933,4,28.43124,12,1,2000
Carlene,Phil Vassar,spotify:track:339hc1FygD8oJl4kg24IjG,0.587,0.88,4,-5.725,1,0.0324,0.0784,0.0,0.182,0.778,129.222,246240,4,20.93198,10,1,2000
Someday,Sugar Ray,spotify:track:6NcHJ23mLQKnVxQcOmT7JW,0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.832,243333,4,25.36994,12,1,2000
